ville,pays,latitude,longitude,date_entiere,heure,aqi,pm2_5,pm10,no2,so2,o3,co,no,nh3
London,GB,51.5074,-0.1278,2025-07-01,9,68,20.24,24.22,24.69,9.62,35.42,141.08,14.99,0.55
New York,US,40.7128,-74.006,2025-07-01,9,25,3.77,4.93,2.7,1.15,53.37,120.75,0,1.06
Paris,FR,48.8566,2.3522,2025-07-01,9,18,3.8,5.14,2.75,0.13,37.96,86.5,1.43,5.78
Tokyo,JP,35.6895,139.6917,2025-07-01,9,40,8.55,19.19,1.79,2.06,85.21,130.9,0.01,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,10,24,0.85,1.62,0.09,0.09,51.79,67.56,0.02,0.22
London,GB,51.5074,-0.1278,2025-07-01,10,68,20.27,24.19,22.76,9.88,35.44,139.98,15.98,0.54
New York,US,40.7128,-74.006,2025-07-01,10,24,3.65,4.58,2.93,1.26,51.04,119.88,0,1.08
Paris,FR,48.8566,2.3522,2025-07-01,10,34,4.69,9.78,0.98,0.18,71.18,86.74,0.25,4.07
Tokyo,JP,35.6895,139.6917,2025-07-01,10,40,8.7,19.33,1.92,2.14,84.87,130.86,0,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,11,25,0.71,1.3,0.08,0.08,52.31,65.56,0.02,0.19
London,GB,51.5074,-0.1278,2025-07-01,11,67,19.8,23.77,20.58,9.6,36.91,138.72,15.25,0.49
New York,US,40.7128,-74.006,2025-07-01,11,23,3.53,4.39,3.43,1.39,47.95,120.85,0.09,1.09
Paris,FR,48.8566,2.3522,2025-07-01,11,36,5.45,13.7,0.57,0.19,76.56,85.21,0.13,3.19
Tokyo,JP,35.6895,139.6917,2025-07-01,11,40,8.8,19.41,1.95,2.2,84.24,130.73,0,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,12,24,0.68,1.22,0.08,0.08,51.26,65.23,0.02,0.19
London,GB,51.5074,-0.1278,2025-07-01,12,65,18.84,22.92,18.2,9.36,40.5,136.54,12.97,0.41
New York,US,40.7128,-74.006,2025-07-01,12,22,3.51,4.37,3.58,1.55,46.97,123.67,0.54,1.09
Paris,FR,48.8566,2.3522,2025-07-01,12,37,6.05,16.24,0.47,0.19,77.65,84.2,0.1,2.91
Tokyo,JP,35.6895,139.6917,2025-07-01,12,40,8.94,19.53,1.95,2.21,83.64,130.71,0,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,13,23,0.77,1.41,0.11,0.1,48.79,67.8,0.02,0.26
London,GB,51.5074,-0.1278,2025-07-01,13,63,17.6,21.61,15.27,9.09,47.38,132.55,9.37,0.34
New York,US,40.7128,-74.006,2025-07-01,13,22,3.58,4.36,4.43,1.68,47.61,125.92,0.32,1.01
Paris,FR,48.8566,2.3522,2025-07-01,13,37,6.8,22.01,0.34,0.14,77.3,83.48,0.07,2.08
Tokyo,JP,35.6895,139.6917,2025-07-01,13,39,8.98,19.5,1.91,2.21,82.7,130.28,0,0
