ville,pays,latitude,longitude,date_entiere,heure,aqi,pm2_5,pm10,no2,so2,o3,co,no,nh3
London,GB,51.5074,-0.1278,2025-10-06,8,38,1.88,6.93,3.27,1.93,81.27,98.16,0.06,0.39
New York,US,40.7128,-74.006,2025-10-06,8,31,6.02,11.83,2.58,0.63,65.42,117.32,0,0.11
Paris,FR,48.8566,2.3522,2025-10-06,8,15,3.5,8.41,7.66,0.19,27.44,131.44,1.85,0.99
Tokyo,JP,35.6895,139.6917,2025-10-06,8,77,24.66,31.89,22.3,13.46,114.03,168.64,0.26,0
Antananarivo,MG,-18.8792,47.5079,2025-10-06,9,26,1.69,3.92,0.06,0.13,54.2,74.3,0.02,0.5
London,GB,51.5074,-0.1278,2025-10-06,9,39,1.92,7.25,3.24,2.03,82.65,98,0.22,0.35
New York,US,40.7128,-74.006,2025-10-06,9,29,5.94,11.55,2.73,0.58,60.77,117.06,0,0.12
Paris,FR,48.8566,2.3522,2025-10-06,9,15,3.43,9.2,5.37,0.22,31.97,127.39,2.49,1.12
Tokyo,JP,35.6895,139.6917,2025-10-06,9,75,23.39,33.61,25.78,12.04,90.47,176.26,0,0
Antananarivo,MG,-18.8792,47.5079,2025-10-06,10,26,1.84,3.73,0.06,0.12,55.32,76.63,0.01,0.47
London,GB,51.5074,-0.1278,2025-10-06,10,40,1.93,7.46,3.02,2.11,85.59,97.72,0.4,0.31
New York,US,40.7128,-74.006,2025-10-06,10,26,5.91,11.31,3.17,0.56,55.89,118.4,0,0.14
Paris,FR,48.8566,2.3522,2025-10-06,10,26,3.1,10.99,2.95,0.41,54.61,113.38,0.98,1.42
Tokyo,JP,35.6895,139.6917,2025-10-06,10,58,15.22,24.82,19.63,8.67,71.26,156.98,0,0.02
Antananarivo,MG,-18.8792,47.5079,2025-10-06,11,26,1.96,3.69,0.07,0.12,54.95,77.86,0.01,0.47
London,GB,51.5074,-0.1278,2025-10-06,11,42,1.96,7.57,2.9,2.24,88.59,97.41,0.51,0.27
New York,US,40.7128,-74.006,2025-10-06,11,25,6,11.29,4.76,0.56,50.18,125.97,0,0.17
Paris,FR,48.8566,2.3522,2025-10-06,11,27,3.23,11.36,2.59,0.43,56.79,110.67,0.79,1.52
Tokyo,JP,35.6895,139.6917,2025-10-06,11,41,9.72,20.33,13.92,6.99,70.56,142.89,0,0.06
Antananarivo,MG,-18.8792,47.5079,2025-10-06,12,26,2,3.7,0.09,0.13,54.15,77.67,0.01,0.5
London,GB,51.5074,-0.1278,2025-10-06,12,43,2.01,7.61,2.84,2.36,91.58,97.28,0.55,0.24
New York,US,40.7128,-74.006,2025-10-06,12,26,6.18,11.41,7.61,0.57,42.98,141.25,0.1,0.2
Paris,FR,48.8566,2.3522,2025-10-06,12,28,3.39,11.56,2.41,0.44,58.46,108.89,0.6,1.54
Tokyo,JP,35.6895,139.6917,2025-10-06,12,36,7.34,18.98,11.25,6.62,75.24,138.32,0,0.1
Antananarivo,MG,-18.8792,47.5079,2025-10-06,13,24,2.19,4.14,0.23,0.16,51.07,83.09,0.02,0.81
London,GB,51.5074,-0.1278,2025-10-06,13,45,2.07,7.6,2.88,2.44,94.25,97.06,0.52,0.22
New York,US,40.7128,-74.006,2025-10-06,13,26,6.26,11.53,8.39,0.58,37.58,153.39,1.21,0.21
Paris,FR,48.8566,2.3522,2025-10-06,13,34,2.94,9.97,1.43,0.49,72.19,104.4,0.25,1.06
Tokyo,JP,35.6895,139.6917,2025-10-06,13,37,6.59,18.28,10.07,6.4,78.81,136.33,0,0.12
Antananarivo,MG,-18.8792,47.5079,2025-10-06,14,22,2.53,4.92,0.51,0.19,47.15,92.53,0.02,1.21
London,GB,51.5074,-0.1278,2025-10-06,14,45,2.12,7.6,3.05,2.47,95.97,96.84,0.44,0.2
New York,US,40.7128,-74.006,2025-10-06,14,26,6.29,11.71,7.2,0.68,36.1,159.22,2.75,0.24
Paris,FR,48.8566,2.3522,2025-10-06,14,37,2.58,8.5,1.06,0.43,78.61,102.24,0.14,0.89
Tokyo,JP,35.6895,139.6917,2025-10-06,14,38,6.54,18.86,9.68,6.24,80.87,135.03,0,0.14
Antananarivo,MG,-18.8792,47.5079,2025-10-06,15,21,2.86,5.67,0.81,0.2,44.06,101.99,0,1.49
London,GB,51.5074,-0.1278,2025-10-06,15,46,2.17,7.7,3.39,2.5,96.97,97,0.31,0.17
New York,US,40.7128,-74.006,2025-10-06,15,27,6.43,11.94,6.45,0.91,38.43,161.84,3.47,0.36
Paris,FR,48.8566,2.3522,2025-10-06,15,38,2.53,8.21,1.14,0.39,79.99,101.74,0.1,0.92
Tokyo,JP,35.6895,139.6917,2025-10-06,15,39,6.56,19.48,9.54,6.16,81.59,133.9,0,0.17
Antananarivo,MG,-18.8792,47.5079,2025-10-06,16,19,3.2,6.52,1.01,0.22,40.94,110.72,0,1.66
London,GB,51.5074,-0.1278,2025-10-06,16,46,2.21,7.91,3.82,2.55,97.2,97.45,0.18,0.15
New York,US,40.7128,-74.006,2025-10-06,16,47,7.7,13.32,3.27,2.62,99.49,124.59,0.7,0.19
Paris,FR,48.8566,2.3522,2025-10-06,16,34,2.71,8.39,2.83,0.35,71.47,104.98,0.16,1.54
Tokyo,JP,35.6895,139.6917,2025-10-06,16,39,6.33,19.11,9.12,5.94,82.12,131.88,0,0.19
Antananarivo,MG,-18.8792,47.5079,2025-10-06,17,18,3.58,7.38,1.13,0.23,38.77,120.36,0,1.75
London,GB,51.5074,-0.1278,2025-10-06,17,46,2.26,8.19,4.15,2.6,96.65,97.64,0.06,0.13
New York,US,40.7128,-74.006,2025-10-06,17,57,8.21,13.63,2.01,2.46,111.26,117.43,0.36,0.1
Paris,FR,48.8566,2.3522,2025-10-06,17,28,3.02,8.76,5.38,0.31,58.72,110.96,0.11,2.39
Tokyo,JP,35.6895,139.6917,2025-10-06,17,39,6.01,18.51,8.48,5.67,83.04,129.74,0,0.2
Antananarivo,MG,-18.8792,47.5079,2025-10-06,18,18,3.84,7.92,1.18,0.22,37.24,127.2,0,1.67
London,GB,51.5074,-0.1278,2025-10-06,18,45,2.32,8.54,4.25,2.67,95.71,97.75,0,0.11
New York,US,40.7128,-74.006,2025-10-06,18,64,8.56,13.86,1.54,2.3,115.62,115,0.25,0.07
Paris,FR,48.8566,2.3522,2025-10-06,18,24,3.31,9.12,6.92,0.3,50.29,116.78,0,2.72
Tokyo,JP,35.6895,139.6917,2025-10-06,18,40,5.66,18.07,7.85,5.44,83.89,127.29,0,0.22
Antananarivo,MG,-18.8792,47.5079,2025-10-06,19,18,3.48,7.3,1.02,0.2,37.12,120.82,0,1.22
London,GB,51.5074,-0.1278,2025-10-06,19,45,2.37,8.9,4.36,2.8,94.44,97.75,0,0.1
New York,US,40.7128,-74.006,2025-10-06,19,66,8.45,13.53,1.39,2.06,116.98,114.09,0.21,0.07
Paris,FR,48.8566,2.3522,2025-10-06,19,21,3.58,9.42,7.8,0.31,44.17,122.4,0,2.76
Tokyo,JP,35.6895,139.6917,2025-10-06,19,40,5.32,17.66,7.4,5.17,84.34,124.25,0,0.22
Antananarivo,MG,-18.8792,47.5079,2025-10-06,20,16,3.78,7.93,1.12,0.18,34.5,128.32,0,1.03
London,GB,51.5074,-0.1278,2025-10-06,20,44,2.4,9.16,4.56,2.97,93.25,97.75,0,0.08
New York,US,40.7128,-74.006,2025-10-06,20,62,7.87,12.67,1.54,1.8,114.49,113.05,0.2,0.1
Paris,FR,48.8566,2.3522,2025-10-06,20,18,3.91,9.76,8.6,0.29,38.07,129.85,0,2.42
Tokyo,JP,35.6895,139.6917,2025-10-06,20,40,4.87,15.52,7.16,4.79,84.84,121.58,0,0.21
Antananarivo,MG,-18.8792,47.5079,2025-10-06,21,16,3.83,7.97,1.15,0.14,32.26,130.15,0,0.92
London,GB,51.5074,-0.1278,2025-10-06,21,44,2.39,9.26,4.72,3.11,92.3,98.04,0,0.07
New York,US,40.7128,-74.006,2025-10-06,21,58,7.39,12.02,1.99,1.64,111.92,113.55,0.19,0.14
Paris,FR,48.8566,2.3522,2025-10-06,21,18,4.25,9.98,9.48,0.25,31.63,136.68,0,2.14
Tokyo,JP,35.6895,139.6917,2025-10-06,21,40,4.44,13.74,6.99,4.52,85.55,119.02,0,0.2
Antananarivo,MG,-18.8792,47.5079,2025-10-06,22,16,3.87,7.92,1.14,0.12,30.16,130.67,0,0.96
London,GB,51.5074,-0.1278,2025-10-06,22,43,2.34,9.22,4.83,3.23,91.58,98.21,0,0.05
New York,US,40.7128,-74.006,2025-10-06,22,29,7.03,11.63,3.04,1.52,106.67,116.95,0.1,0.18
Paris,FR,48.8566,2.3522,2025-10-06,22,19,4.47,9.89,10,0.2,25.74,139.79,0.01,2.02
Tokyo,JP,35.6895,139.6917,2025-10-06,22,41,4.21,12.71,7.43,4.37,86.45,116.93,0.02,0.19
Antananarivo,MG,-18.8792,47.5079,2025-10-06,23,17,4.01,8.03,1.15,0.1,28.02,133.64,0,0.94
London,GB,51.5074,-0.1278,2025-10-06,23,43,2.29,9.13,4.93,3.34,90.77,98.29,0,0.04
New York,US,40.7128,-74.006,2025-10-06,23,48,6.82,11.49,3.88,1.41,101.33,121.76,0,0.2
Paris,FR,48.8566,2.3522,2025-10-06,23,19,4.66,9.79,10,0.16,21.72,142.67,0.01,1.97
Tokyo,JP,35.6895,139.6917,2025-10-06,23,42,4.19,12.76,8.3,4.42,87.88,116.14,0.22,0.2
Antananarivo,MG,-18.8792,47.5079,2025-10-07,0,17,4.12,8.08,1.15,0.09,26.09,135.88,0,0.91
London,GB,51.5074,-0.1278,2025-10-07,0,42,2.26,9.05,5.01,3.45,89.88,98.37,0,0.03
New York,US,40.7128,-74.006,2025-10-07,0,47,6.61,11.35,3.81,1.31,99.38,123.79,0,0.16
Paris,FR,48.8566,2.3522,2025-10-07,0,20,4.89,9.79,9.7,0.15,19.47,145.19,0.01,2.01
Tokyo,JP,35.6895,139.6917,2025-10-07,0,42,4.29,13.23,8.53,4.6,89.11,116.07,0.56,0.21
Antananarivo,MG,-18.8792,47.5079,2025-10-07,1,17,4.17,8,1.13,0.08,24.33,136.76,0,0.9
London,GB,51.5074,-0.1278,2025-10-07,1,42,2.25,8.99,5.09,3.55,89.24,98.64,0,0.02
New York,US,40.7128,-74.006,2025-10-07,1,46,6.24,10.87,3.33,1.21,97.59,120.71,0,0.1
Paris,FR,48.8566,2.3522,2025-10-07,1,21,5.12,9.88,9.23,0.15,18.71,146.81,0.02,2.03
Tokyo,JP,35.6895,139.6917,2025-10-07,1,43,4.43,14.24,8.3,4.86,90.57,115.94,0.76,0.21
Antananarivo,MG,-18.8792,47.5079,2025-10-07,2,18,4.2,7.84,1.1,0.08,22.6,137.91,0,0.91
London,GB,51.5074,-0.1278,2025-10-07,2,42,2.28,8.96,5.19,3.65,88.37,98.74,0,0.01
New York,US,40.7128,-74.006,2025-10-07,2,46,5.96,10.54,3.03,1.18,96.77,119.02,0,0.07
Paris,FR,48.8566,2.3522,2025-10-07,2,22,5.38,10.06,8.82,0.14,18.23,147.92,0.02,1.94
Tokyo,JP,35.6895,139.6917,2025-10-07,2,43,4.62,15.79,8.25,5.32,91.76,116.3,0.73,0.21
Antananarivo,MG,-18.8792,47.5079,2025-10-07,3,18,4.29,7.77,1.1,0.09,21.01,140.27,0.01,0.96
London,GB,51.5074,-0.1278,2025-10-07,3,41,2.33,9.01,5.32,3.75,87.42,99.12,0,0.01
New York,US,40.7128,-74.006,2025-10-07,3,45,5.74,10.26,2.93,1.18,95.78,117.7,0,0.08
Paris,FR,48.8566,2.3522,2025-10-07,3,23,5.63,10.19,8.51,0.12,17.69,149.03,0.03,1.83
Tokyo,JP,35.6895,139.6917,2025-10-07,3,44,4.75,16.62,8.34,5.64,92.66,116.77,0.67,0.21
Antananarivo,MG,-18.8792,47.5079,2025-10-07,4,19,4.57,8.42,0.95,0.13,20.33,146.93,0.17,0.98
London,GB,51.5074,-0.1278,2025-10-07,4,41,2.42,9.17,5.44,3.86,86.15,99.4,0,0.01
New York,US,40.7128,-74.006,2025-10-07,4,45,5.55,9.86,2.74,1.18,95.36,115.73,0,0.11
Paris,FR,48.8566,2.3522,2025-10-07,4,24,5.78,10.09,8.34,0.12,16.93,148.27,0.05,1.63
Tokyo,JP,35.6895,139.6917,2025-10-07,4,44,4.83,16.91,8.55,5.75,93.75,117.36,0.53,0.21
Antananarivo,MG,-18.8792,47.5079,2025-10-07,5,21,5.13,9.6,0.74,0.18,23.83,154.37,0.27,1.27
London,GB,51.5074,-0.1278,2025-10-07,5,40,2.52,9.48,5.45,3.92,84.8,99.68,0,0.02
New York,US,40.7128,-74.006,2025-10-07,5,44,5.43,9.61,2.56,1.1,93.13,114.7,0,0.12
Paris,FR,48.8566,2.3522,2025-10-07,5,25,5.99,10.21,9.04,0.14,16,151.08,0.15,1.39
Tokyo,JP,35.6895,139.6917,2025-10-07,5,44,4.9,17.22,8.77,5.78,93.38,116.27,0.39,0.2
Antananarivo,MG,-18.8792,47.5079,2025-10-07,6,25,5.97,10.62,0.52,0.22,31.13,157.02,0.18,1.74
London,GB,51.5074,-0.1278,2025-10-07,6,39,2.66,9.93,5.39,3.95,83.53,100.14,0,0.02
New York,US,40.7128,-74.006,2025-10-07,6,42,5.38,9.49,2.42,1.01,89.96,114.3,0,0.13
Paris,FR,48.8566,2.3522,2025-10-07,6,26,6.21,10.44,10.59,0.17,14.83,155.21,0.42,1.22
Tokyo,JP,35.6895,139.6917,2025-10-07,6,43,4.93,17.19,8.86,5.6,91.92,113.96,0.25,0.19
Antananarivo,MG,-18.8792,47.5079,2025-10-07,7,27,2.14,4.15,0.09,0.17,56.52,85.98,0.02,0.6
London,GB,51.5074,-0.1278,2025-10-07,7,39,2.81,10.42,5.39,3.99,82.18,100.52,0,0.02
New York,US,40.7128,-74.006,2025-10-07,7,41,5.36,9.41,2.36,0.93,85.99,113.71,0,0.14
Paris,FR,48.8566,2.3522,2025-10-07,7,25,6.1,10.51,10.89,0.18,15.45,156.47,1.01,1.05
Tokyo,JP,35.6895,139.6917,2025-10-07,7,43,4.84,16.16,8.86,5.22,90.37,111.68,0.1,0.17
Antananarivo,MG,-18.8792,47.5079,2025-10-07,8,29,1.84,3.46,0.06,0.11,61.47,79.43,0.01,0.44
London,GB,51.5074,-0.1278,2025-10-07,8,38,2.96,10.83,5.84,4.15,80.99,100.79,0.04,0.02
New York,US,40.7128,-74.006,2025-10-07,8,39,5.32,9.28,2.33,0.86,82.42,113.31,0,0.16
Paris,FR,48.8566,2.3522,2025-10-07,8,24,5.71,10.35,7.76,0.19,18.38,155.41,3.18,1.01
Tokyo,JP,35.6895,139.6917,2025-10-07,8,42,4.73,14.85,8.62,4.86,88.65,110.04,0.01,0.15
Antananarivo,MG,-18.8792,47.5079,2025-10-07,9,29,1.83,3.29,0.07,0.1,61.24,77.98,0.01,0.4
London,GB,51.5074,-0.1278,2025-10-07,9,38,3.13,11.25,6.18,4.34,80.03,101.35,0.19,0.01
New York,US,40.7128,-74.006,2025-10-07,9,37,5.2,9.05,2.35,0.82,79.23,112.17,0,0.17
Paris,FR,48.8566,2.3522,2025-10-07,9,23,5.5,10.48,5.41,0.2,22.38,151.95,4.33,1.19
Tokyo,JP,35.6895,139.6917,2025-10-07,9,41,4.69,14.23,7.64,4.65,87.5,109.08,0,0.13
Antananarivo,MG,-18.8792,47.5079,2025-10-07,10,30,1.95,3.33,0.08,0.09,62.47,79.35,0.01,0.4
London,GB,51.5074,-0.1278,2025-10-07,10,38,3.32,11.66,6.29,4.52,79.62,101.8,0.39,0.02
New York,US,40.7128,-74.006,2025-10-07,10,36,5.02,8.72,2.51,0.82,76.24,111.07,0,0.18
Paris,FR,48.8566,2.3522,2025-10-07,10,25,4.13,9.75,3.09,0.28,51.89,123.85,1.21,1.2
Tokyo,JP,35.6895,139.6917,2025-10-07,10,41,4.78,14.81,6.86,4.59,86.79,108.34,0,0.12
Antananarivo,MG,-18.8792,47.5079,2025-10-07,11,30,2.1,3.45,0.1,0.09,62.77,80.59,0.02,0.42
London,GB,51.5074,-0.1278,2025-10-07,11,38,3.51,11.99,6.25,4.61,79.68,102.04,0.54,0.05
New York,US,40.7128,-74.006,2025-10-07,11,35,4.79,8.4,3.16,0.86,73.3,112.03,0,0.22
Paris,FR,48.8566,2.3522,2025-10-07,11,28,4.24,9.61,2.08,0.29,60.3,117.43,0.75,1.3
Tokyo,JP,35.6895,139.6917,2025-10-07,11,41,4.93,16.23,6.57,4.72,86.6,108.3,0,0.12
Antananarivo,MG,-18.8792,47.5079,2025-10-07,12,29,2.25,3.61,0.12,0.09,62.13,81.72,0.01,0.46
London,GB,51.5074,-0.1278,2025-10-07,12,38,3.74,12.44,6.23,4.7,79.74,102.29,0.61,0.1
New York,US,40.7128,-74.006,2025-10-07,12,33,4.5,8.08,4.28,0.92,70.75,115.29,0.05,0.28
Paris,FR,48.8566,2.3522,2025-10-07,12,31,4.98,10.15,1.62,0.29,66.28,114.53,0.52,1.39
Tokyo,JP,35.6895,139.6917,2025-10-07,12,41,5.05,18.29,6.36,4.82,86.61,108.32,0,0.11
Antananarivo,MG,-18.8792,47.5079,2025-10-07,13,29,2.4,3.89,0.15,0.1,60.57,83.29,0.02,0.52
London,GB,51.5074,-0.1278,2025-10-07,13,38,4,12.98,6.27,4.74,79.7,102.25,0.59,0.18
New York,US,40.7128,-74.006,2025-10-07,13,33,4.1,7.68,4.35,0.98,69.81,116.27,0.44,0.33
Paris,FR,48.8566,2.3522,2025-10-07,13,38,4.55,8.55,0.98,0.26,80.12,111.46,0.24,1.1
Tokyo,JP,35.6895,139.6917,2025-10-07,13,41,5.1,20.12,6.23,4.92,86.41,108.23,0,0.1
Antananarivo,MG,-18.8792,47.5079,2025-10-07,14,28,2.53,4.25,0.19,0.11,58.32,85.13,0.02,0.62
London,GB,51.5074,-0.1278,2025-10-07,14,38,4.23,13.38,6.35,4.7,79.66,102.29,0.5,0.29
New York,US,40.7128,-74.006,2025-10-07,14,33,3.71,7.32,3.63,1.07,70.53,113.43,0.75,0.41
Paris,FR,48.8566,2.3522,2025-10-07,14,41,4.39,7.69,0.79,0.24,85.84,109.76,0.16,1.03
Tokyo,JP,35.6895,139.6917,2025-10-07,14,40,5.03,21.29,6.54,5.22,85.48,108.78,0,0.1
Antananarivo,MG,-18.8792,47.5079,2025-10-07,15,26,2.61,4.58,0.26,0.12,55.95,86.55,0,0.7
London,GB,51.5074,-0.1278,2025-10-07,15,38,4.45,13.71,6.51,4.62,79.54,102.33,0.37,0.41
New York,US,40.7128,-74.006,2025-10-07,15,35,3.43,7.11,2.83,1.2,75.1,108.55,0.69,0.44
Paris,FR,48.8566,2.3522,2025-10-07,15,41,4.87,8.08,0.91,0.24,86.73,109.96,0.15,1.15
Tokyo,JP,35.6895,139.6917,2025-10-07,15,39,4.92,21.78,7.28,5.67,83.45,109.68,0,0.12
Antananarivo,MG,-18.8792,47.5079,2025-10-07,16,24,2.74,5.27,0.41,0.14,50.79,90.61,0,0.89
London,GB,51.5074,-0.1278,2025-10-07,16,38,4.62,13.9,6.81,4.53,79.44,102.66,0.19,0.54
New York,US,40.7128,-74.006,2025-10-07,16,43,2.63,6.32,1.32,0.98,91.46,97.63,0.25,0.22
Paris,FR,48.8566,2.3522,2025-10-07,16,39,5.6,8.88,1.97,0.25,81.52,114.02,0.22,1.61
Tokyo,JP,35.6895,139.6917,2025-10-07,16,38,4.95,21.5,8.31,6.2,80.68,111.18,0,0.13
Antananarivo,MG,-18.8792,47.5079,2025-10-07,17,22,3.14,6.53,0.63,0.18,45.73,100.8,0,1.1
London,GB,51.5074,-0.1278,2025-10-07,17,37,4.76,13.99,7.12,4.49,78.56,103.02,0.04,0.66
New York,US,40.7128,-74.006,2025-10-07,17,45,2.49,6.16,0.95,0.82,94.51,94.94,0.13,0.22
Paris,FR,48.8566,2.3522,2025-10-07,17,34,6.34,9.67,3.81,0.25,71.47,120.44,0.14,2.02
Tokyo,JP,35.6895,139.6917,2025-10-07,17,37,5.19,21.96,9.5,6.81,77.32,112.97,0,0.14
Antananarivo,MG,-18.8792,47.5079,2025-10-07,18,20,3.6,7.74,0.79,0.2,42.22,110.77,0,1.24
London,GB,51.5074,-0.1278,2025-10-07,18,37,4.91,14.13,7.13,4.48,77.83,103.38,0,0.76
New York,US,40.7128,-74.006,2025-10-07,18,45,2.48,6.08,0.94,0.75,94.71,94.33,0.08,0.27
Paris,FR,48.8566,2.3522,2025-10-07,18,30,7.01,10.4,5.08,0.26,63.68,127.63,0,1.75
Tokyo,JP,35.6895,139.6917,2025-10-07,18,35,5.57,22.91,10.59,7.31,73.97,114.67,0,0.14
Antananarivo,MG,-18.8792,47.5079,2025-10-07,19,18,4.22,9.12,1,0.21,37.63,123.97,0,1.45
London,GB,51.5074,-0.1278,2025-10-07,19,36,5.08,14.38,7.18,4.54,77.04,103.85,0,0.82
New York,US,40.7128,-74.006,2025-10-07,19,45,2.48,5.98,1,0.71,95.17,94.61,0.05,0.31
Paris,FR,48.8566,2.3522,2025-10-07,19,32,7.68,11.13,5.69,0.26,57.65,134.23,0,1.27
Tokyo,JP,35.6895,139.6917,2025-10-07,19,34,6,23.43,11.5,7.61,71.03,115.98,0,0.13
Antananarivo,MG,-18.8792,47.5079,2025-10-07,20,20,4.91,10.52,1.25,0.2,33.02,138.61,0,1.41
London,GB,51.5074,-0.1278,2025-10-07,20,36,5.28,14.79,7.46,4.75,75.78,104.13,0,0.86
New York,US,40.7128,-74.006,2025-10-07,20,45,2.41,5.78,1.07,0.67,95.27,94.27,0.04,0.33
Paris,FR,48.8566,2.3522,2025-10-07,20,35,8.48,12.09,6.08,0.27,53.5,142.25,0,1.02
Tokyo,JP,35.6895,139.6917,2025-10-07,20,33,6.39,23.4,12.13,7.59,69.05,116.74,0,0.09
Antananarivo,MG,-18.8792,47.5079,2025-10-07,21,22,5.23,11.06,1.37,0.16,29.24,144.8,0,1.35
London,GB,51.5074,-0.1278,2025-10-07,21,35,5.51,15.27,7.81,5,74.52,104.61,0,0.87
New York,US,40.7128,-74.006,2025-10-07,21,45,2.28,5.54,1.22,0.63,95.22,94.1,0.03,0.32
Paris,FR,48.8566,2.3522,2025-10-07,21,38,9.1,12.81,6.35,0.25,49.34,148.1,0,0.88
Tokyo,JP,35.6895,139.6917,2025-10-07,21,32,6.76,23.14,12.36,7.41,68.11,117.02,0,0.05
Antananarivo,MG,-18.8792,47.5079,2025-10-07,22,22,5.39,11.14,1.4,0.15,26.54,146.68,0,1.56
London,GB,51.5074,-0.1278,2025-10-07,22,35,5.74,15.55,8.07,5.21,73.26,105.09,0,0.87
New York,US,40.7128,-74.006,2025-10-07,22,44,2.21,5.58,1.69,0.67,94.12,95.1,0.01,0.31
Paris,FR,48.8566,2.3522,2025-10-07,22,38,9.17,12.75,6.24,0.2,44.14,148.36,0,0.78
Tokyo,JP,35.6895,139.6917,2025-10-07,22,32,7.03,22.56,13.39,7.38,68.02,117.34,0.03,0.02
Antananarivo,MG,-18.8792,47.5079,2025-10-07,23,23,5.58,11.25,1.41,0.13,24.34,149.4,0,1.53
London,GB,51.5074,-0.1278,2025-10-07,23,34,5.97,15.72,8.22,5.31,72.01,105.39,0,0.85
New York,US,40.7128,-74.006,2025-10-07,23,44,2.25,5.89,2.13,0.75,93.17,97.19,0,0.31
Paris,FR,48.8566,2.3522,2025-10-07,23,38,9.02,12.38,6.13,0.15,38.03,148.91,0,0.73
Tokyo,JP,35.6895,139.6917,2025-10-07,23,32,7.21,22.03,15.58,7.7,68.79,118.57,0.23,0.02
Antananarivo,MG,-18.8792,47.5079,2025-10-08,0,24,5.7,11.25,1.38,0.11,22.49,150.24,0,1.51
London,GB,51.5074,-0.1278,2025-10-08,0,33,6.16,15.76,8.27,5.33,70.76,105.79,0,0.81
New York,US,40.7128,-74.006,2025-10-08,0,44,2.26,6.06,2.2,0.76,92.38,98.39,0,0.28
Paris,FR,48.8566,2.3522,2025-10-08,0,37,8.8,11.93,6.01,0.12,32.78,150.01,0,0.73
Tokyo,JP,35.6895,139.6917,2025-10-08,0,33,7.39,21.95,17.39,8.2,70.2,120.19,0.57,0.02
Antananarivo,MG,-18.8792,47.5079,2025-10-08,1,23,5.6,10.77,1.32,0.1,21.1,147.94,0,1.5
London,GB,51.5074,-0.1278,2025-10-08,1,33,6.26,15.63,8.14,5.26,70,106.01,0,0.75
New York,US,40.7128,-74.006,2025-10-08,1,43,2.22,6.05,1.97,0.72,90.46,97.23,0,0.22
Paris,FR,48.8566,2.3522,2025-10-08,1,36,8.65,11.6,6.01,0.1,28.42,152.1,0,0.74
Tokyo,JP,35.6895,139.6917,2025-10-08,1,34,7.08,19.18,18.75,8.62,71.65,122.16,0.96,0.02
Antananarivo,MG,-18.8792,47.5079,2025-10-08,2,22,5.36,10.08,1.22,0.09,20.46,144.27,0,1.33
London,GB,51.5074,-0.1278,2025-10-08,2,33,6.25,15.31,7.83,5.09,70.03,105.97,0,0.69
New York,US,40.7128,-74.006,2025-10-08,2,42,2.2,6.15,1.75,0.71,89.05,95.95,0,0.2
Paris,FR,48.8566,2.3522,2025-10-08,2,36,8.74,11.54,6.23,0.09,24.49,156.87,0,0.75
Tokyo,JP,35.6895,139.6917,2025-10-08,2,34,7.13,17.44,20.08,8.71,72.46,125.77,1.31,0.04
Antananarivo,MG,-18.8792,47.5079,2025-10-08,3,21,5.08,9.43,1.13,0.09,21.06,139.78,0,1.15
London,GB,51.5074,-0.1278,2025-10-08,3,33,6.12,14.76,7.44,4.86,70.39,105.75,0,0.61
New York,US,40.7128,-74.006,2025-10-08,3,41,2.22,6.37,1.63,0.7,87.49,94.68,0,0.23
Paris,FR,48.8566,2.3522,2025-10-08,3,38,9,11.53,6.61,0.09,21.1,162.77,0.01,0.74
Tokyo,JP,35.6895,139.6917,2025-10-08,3,35,7.13,16.38,20.65,8.8,74.09,128.78,1.52,0.05
Antananarivo,MG,-18.8792,47.5079,2025-10-08,4,18,4.32,8.39,0.79,0.12,25.83,128.46,0.12,1.1
London,GB,51.5074,-0.1278,2025-10-08,4,34,5.84,13.92,6.96,4.55,71.45,105.15,0,0.52
New York,US,40.7128,-74.006,2025-10-08,4,41,2.23,5.98,1.45,0.67,86.87,93.52,0,0.24
Paris,FR,48.8566,2.3522,2025-10-08,4,39,9.37,11.67,7.25,0.1,17.9,169.31,0.02,0.74
Tokyo,JP,35.6895,139.6917,2025-10-08,4,36,6.96,14.88,21.3,8.55,75.72,130.9,1.14,0.04
Antananarivo,MG,-18.8792,47.5079,2025-10-08,5,17,4.1,8.23,0.54,0.16,30.4,125.41,0.18,1.37
London,GB,51.5074,-0.1278,2025-10-08,5,34,5.46,12.97,6.51,4.23,72.83,104.64,0,0.42
New York,US,40.7128,-74.006,2025-10-08,5,41,2.26,5.13,1.26,0.59,86.35,93.28,0,0.19
Paris,FR,48.8566,2.3522,2025-10-08,5,41,9.86,12.03,8.66,0.13,14.64,179.29,0.06,0.76
Tokyo,JP,35.6895,139.6917,2025-10-08,5,36,6.62,13.31,21.36,7.85,76.33,131.31,0.79,0.03
Antananarivo,MG,-18.8792,47.5079,2025-10-08,6,17,4.18,8.21,0.37,0.2,36.07,123.37,0.13,1.55
London,GB,51.5074,-0.1278,2025-10-08,6,35,5.09,12.23,6.16,3.98,74.69,104.03,0,0.33
New York,US,40.7128,-74.006,2025-10-08,6,41,2.26,4.19,1.14,0.51,85.83,93.39,0,0.14
Paris,FR,48.8566,2.3522,2025-10-08,6,44,10.57,12.67,11.03,0.18,11,191.71,0.19,0.78
Tokyo,JP,35.6895,139.6917,2025-10-08,6,36,6.07,11.77,20.17,7.03,77.04,129.16,0.42,0.01
